기준일,종목코드,종목명,수량,현재가,비중(%),섹터,국가,통화,환율
2025-08-31,0700.HK,텐센트(0700.HK),200,596.5,6.03,Information Technology,홍콩,HKD,178.135
2025-08-31,GRAB,그랩 홀딩스(GRAB),2352,4.99,4.63,Information Technology,미국,USD,1388.97
2025-08-31,RACE,페라리(RACE),24,477.21,4.51,Consumer Discretionary,미국,USD,1388.97
2025-08-31,RMS.PA,에르메스(RMS.PA),5,2091,4.82,Consumer Discretionary,프랑스,EUR,1623.16
2025-08-31,DASH,도어대시(DASH),57,245.25,5.51,Information Technology,미국,USD,1388.97
2025-08-31,ABNB,에어비앤비(ABNB),89,130.53,4.58,Consumer Discretionary,미국,USD,1388.97
2025-08-31,HSY,허쉬(HSY),63,183.75,4.56,Consumer Staples,미국,USD,1388.97
2025-08-31,IDXX,아이덱스 래보라토리스(IDXX),24,647.09,6.12,Health Care,미국,USD,1388.97
2025-08-31,HD,홈디포(HD),29,406.77,4.65,Industrials,미국,USD,1388.97
2025-08-31,OTIS,오티스 월드와이드(OTIS),102,86.38,3.47,Industrials,미국,USD,1388.97
2025-08-31,MNST,몬스터 베버리지(MNST),172,62.41,4.23,Consumer Staples,미국,USD,1388.97
2025-08-31,AXP,아메리칸 익스프레스(AXP),34,331.28,4.44,Financials,미국,USD,1388.97
2025-08-31,067160.KQ,SOOP(067160.KQ),141,77900,3.12,Communication Services,한국,KRW,1
2025-08-31,DEO,디아지오(DEO),70,111.83,3.09,Consumer Staples,미국,USD,1388.97
2025-08-31,000858.SZ,오량액(000858.SZ),500,129.53,3.58,Consumer Staples,중국,CNY,194.79
2025-08-31,3690.HK,메이투안(3690.HK),500,102.7,2.6,Information Technology,홍콩,HKD,178.135
2025-08-31,2801.JT,깃코만(2801 JT),800,1271,2.73,Consumer Staples,일본,JPY,9.4459
2025-08-31,UBER,우버(UBER),9,93.75,0.33,Information Technology,미국,USD,1388.97
2025-08-31,KOSPI,KOSPI,,3186,,,,,
2025-08-31,S&P,SPX,,6460,,,,,
2025-09-30,035900.KQ,JYP(035900.KQ),200,74600,4.06,Communication Services,한국,KRW,1
2025-09-30,BABA,알리바바(BABA),143,178.73,9.77,Information Technology,미국,USD,1404.27
2025-09-30,ROL,롤린스(ROL),268,58.74,6.02,Industrials,미국,USD,1404.27
2025-09-30,PM,필립모리스(PM),79,162.2,4.9,Consumer Staples,미국,USD,1404.27
2025-09-30,0700.HK,텐센트(0700.HK),200,663,6.51,Information Technology,홍콩,HKD,180.44
2025-09-30,GRAB,그랩 홀딩스(GRAB),2352,6.02,5.41,Information Technology,미국,USD,1404.27
2025-09-30,RACE,페라리(RACE),24,485.22,4.45,Consumer Discretionary,미국,USD,1404.27
2025-09-30,RMS.PA,에르메스(RMS.PA),5,2083,4.67,Consumer Discretionary,프랑스,EUR,1648.19
2025-09-30,DASH,도어대시(DASH),57,271.99,5.93,Information Technology,미국,USD,1404.27
2025-09-30,ABNB,에어비앤비(ABNB),89,121.42,4.13,Consumer Discretionary,미국,USD,1404.27
2025-09-30,HSY,허쉬(HSY),63,187.05,4.51,Consumer Staples,미국,USD,1404.27
2025-09-30,IDXX,아이덱스 래보라토리스(IDXX),24,638.89,5.86,Health Care,미국,USD,1404.27
2025-09-30,HD,홈디포(HD),29,405.19,4.49,Industrials,미국,USD,1404.27
2025-09-30,OTIS,오티스 월드와이드(OTIS),102,91.43,3.57,Industrials,미국,USD,1404.27
2025-09-30,MNST,몬스터 베버리지(MNST),172,67.31,4.43,Consumer Staples,미국,USD,1404.27
2025-09-30,AXP,아메리칸 익스프레스(AXP),34,332.16,4.32,Financials,미국,USD,1404.27
2025-09-30,067160.KQ,SOOP(067160.KQ),141,75000,2.88,Communication Services,한국,KRW,1
2025-09-30,DEO,디아지오(DEO),70,95.43,2.55,Consumer Staples,미국,USD,1404.27
2025-09-30,000858.SZ,오량액(000858.SZ),500,121.48,3.26,Consumer Staples,중국,CNY,197.24
2025-09-30,3690.HK,메이투안(3690.HK),600,104.5,3.08,Information Technology,홍콩,HKD,180.44
2025-09-30,2801.JT,깃코만(2801 JT),800,1255,2.6,Consumer Staples,일본,JPY,9.4979
2025-09-30,UBER,우버(UBER),69,97.97,2.58,Information Technology,미국,USD,1404.27
2025-09-30,KOSPI,KOSPI,,3424,,,,,
2025-09-30,S&P,SPX,,6688,,,,,
2025-10-31,035900.KQ,JYP(035900.KQ),200,80900,4.27,Communication Services,한국,KRW,1
2025-10-31,BABA,알리바바(BABA),143,170.43,9.19,Information Technology,미국,USD,1429.22
2025-10-31,ROL,롤린스(ROL),268,57.61,5.82,Industrials,미국,USD,1429.22
2025-10-31,PM,필립모리스(PM),80,144.33,4.35,Consumer Staples,미국,USD,1429.22
2025-10-31,0700.HK,텐센트(0700.HK),200,629,6.1,Information Technology,홍콩,HKD,183.925
2025-10-31,GRAB,그랩 홀딩스(GRAB),2354,6.01,5.33,Information Technology,미국,USD,1429.22
2025-10-31,RACE,페라리(RACE),26,403.95,3.96,Consumer Discretionary,미국,USD,1429.22
2025-10-31,RMS.PA,에르메스(RMS.PA),5,2149,4.67,Consumer Discretionary,프랑스,EUR,1648.68
2025-10-31,DASH,도어대시(DASH),57,254.37,5.47,Information Technology,미국,USD,1429.22
2025-10-31,ABNB,에어비앤비(ABNB),89,126.54,4.25,Consumer Discretionary,미국,USD,1429.22
2025-10-31,HSY,허쉬(HSY),63,169.63,4.03,Consumer Staples,미국,USD,1429.22
2025-10-31,IDXX,아이덱스 래보라토리스(IDXX),24,629.51,5.7,Health Care,미국,USD,1429.22
2025-10-31,HD,홈디포(HD),29,379.59,4.15,Industrials,미국,USD,1429.22
2025-10-31,OTIS,오티스 월드와이드(OTIS),102,92.76,3.57,Industrials,미국,USD,1429.22
2025-10-31,MNST,몬스터 베버리지(MNST),172,66.83,4.33,Consumer Staples,미국,USD,1429.22
2025-10-31,AXP,아메리칸 익스프레스(AXP),34,360.73,4.62,Financials,미국,USD,1429.22
2025-10-31,067160.KQ,SOOP(067160.KQ),141,72700,2.7,Communication Services,한국,KRW,1
2025-10-31,DEO,디아지오(DEO),70,92.09,2.43,Consumer Staples,미국,USD,1429.22
2025-10-31,000858.SZ,오량액(000858.SZ),500,118.99,3.15,Consumer Staples,중국,CNY,200.8
2025-10-31,3690.HK,메이투안(3690.HK),700,102,3.46,Information Technology,홍콩,HKD,183.925
2025-10-31,2801.JT,깃코만(2801 JT),1000,1226,3,Consumer Staples,일본,JPY,9.2799
2025-10-31,UBER,우버(UBER),121,96.5,4.4,Information Technology,미국,USD,1429.22
2025-10-31,SCHO,미국 단기채(SCHO),112,24.4524,1.03,Fixed Income,미국,USD,1429.22
2025-10-31,KOSPI,KOSPI,,4107,,,,,
2025-10-31,S&P,SPX,,6840,,,,,
2025-11-30,035900.KQ,JYP(035900.KQ),200,68000,3.55,Communication Services,한국,KRW,1
2025-11-30,BABA,알리바바(BABA),143,157.3,8.61,Information Technology,미국,USD,1467.62
2025-11-30,ROL,롤린스(ROL),268,61.48,6.31,Industrials,미국,USD,1467.62
2025-11-30,PM,필립모리스(PM),80,157.48,4.82,Consumer Staples,미국,USD,1467.62
2025-11-30,0700.HK,텐센트(0700.HK),200,611.5,6.02,Information Technology,홍콩,HKD,188.5
2025-11-30,GRAB,그랩 홀딩스(GRAB),2355,5.45,4.92,Information Technology,미국,USD,1467.62
2025-11-30,RACE,페라리(RACE),26,391.9,3.9,Consumer Discretionary,미국,USD,1467.62
2025-11-30,RMS.PA,에르메스(RMS.PA),5,2100,4.66,Consumer Discretionary,프랑스,EUR,1701.85
2025-11-30,DASH,도어대시(DASH),59,198.37,4.48,Information Technology,미국,USD,1467.62
2025-11-30,ABNB,에어비앤비(ABNB),89,116.99,3.99,Consumer Discretionary,미국,USD,1467.62
2025-11-30,HSY,허쉬(HSY),63,188.08,4.54,Consumer Staples,미국,USD,1467.62
2025-11-30,IDXX,아이덱스 래보라토리스(IDXX),24,752.88,6.92,Health Care,미국,USD,1467.62
2025-11-30,HD,홈디포(HD),29,356.92,3.96,Industrials,미국,USD,1467.62
2025-11-30,OTIS,오티스 월드와이드(OTIS),102,88.85,3.47,Industrials,미국,USD,1467.62
2025-11-30,MNST,몬스터 베버리지(MNST),172,74.99,4.94,Consumer Staples,미국,USD,1467.62
2025-11-30,AXP,아메리칸 익스프레스(AXP),34,365.27,4.76,Financials,미국,USD,1467.62
2025-11-30,067160.KQ,SOOP(067160.KQ),140,69100,2.52,Communication Services,한국,KRW,1
2025-11-30,DEO,디아지오(DEO),70,91.61,2.46,Consumer Staples,미국,USD,1467.62
2025-11-30,000858.SZ,오량액(000858.SZ),500,117.85,3.19,Consumer Staples,중국,CNY,207.43
2025-11-30,3690.HK,메이투안(3690.HK),700,102.5,3.53,Information Technology,홍콩,HKD,188.5
2025-11-30,2801 JT,깃코만(2801 JT),1000,1430,3.51,Consumer Staples,일본,JPY,9.3973
2025-11-30,UBER,우버(UBER),121,87.54,4.06,Information Technology,미국,USD,1467.62
2025-11-30,SCHO,미국 단기채(SCHO),0,24.4524,0,Fixed Income,미국,USD,1467.62
2025-11-30,SGOV,미국 초단기채(SGOV),23,100.68,0.89,Fixed Income,미국,USD,1467.62
2025-11-30,KOSPI,KOSPI,,3926,,,,,
2025-11-30,S&P,SPX,,6849,,,,,
2025-12-31,035900.KQ,JYP(035900.KQ),200,71500,,,한국,KRW,1
2025-12-31,BABA,알리바바(BABA),143,146.5800018,,,미국,USD,1437.910034
2025-12-31,ROL,롤린스(ROL),268,60.02000046,,,미국,USD,1437.910034
2025-12-31,PM,필립모리스(PM),80,160.3999939,,,미국,USD,1437.910034
2025-12-31,0700.HK,텐센트(0700.HK),200,599,,,홍콩,HKD,184.8081818
2025-12-31,CFR.SW,리슈몽(CFR.SW),44,171,,,미국,CHF,1816.024658
